id,restaurant_id,menuparagraph_id,name,description,vegetarian,vegan,allergens,position
1,1,1,skordalia,Creme aus Kartoffeln und frischem Knoblauch,TRUE,FALSE,,1
2,1,1,tsatsiki,"Joghurt mit Gurke, Knoblauch und Gewürzen",TRUE,FALSE,,2
3,1,1,elies,Portion Oliven und Peperoni,TRUE,TRUE,,3
4,1,1,padsaria,Rote Beete mit Knoblauch und Tsatsiki,TRUE,FALSE,,4
5,1,1,tarama,Creme aus Fischrogenpaste,FALSE,TRUE,,5
6,1,1,kopanisti,Geschlagener Cremekäse mir Paprika und Olivenöl,TRUE,FALSE,,6
7,1,1,dolmadakia,"Gefüllte Weinblätter mit Reis, dazu Tsatsiki",TRUE,FALSE,,7
8,1,1,gigantes,"Riesenbohnensalat mit Paprika, Zwiebeln, Olivenöl und Zitrone",TRUE,TRUE,,8
9,1,1,dako,"Getrocknetes Gerstenbrot (aus Kreta) mit Oliven, Schafskäse, Kapern, Tomaten und Olivenöl",FALSE,FALSE,,9
10,1,1,feta,Schafskäse mit Olivenöl und Oregano,TRUE,FALSE,,10
11,1,1,orektiko,gemischter vorsepeisenteller,FALSE,FALSE,,1
12,1,2,knoblaucbrot,,TRUE,FALSE,,2
13,1,2,skordalia,Creme aus Kartoffeln und frischem Knoblauch,TRUE,FALSE,,3
14,1,2,plaki,Riesenbohnensalat in Tomatensauce mit Kräutern überbacken,TRUE,TRUE,,4
15,1,2,plaki feta,Riesenbohnensalat in Tomatensauce mit Kräutern und Schafskäse überbacken,TRUE,FALSE,,5
16,1,2,feta fournou,"Überbackener Schafskäse mit Tomaten, Oliven, Peperoni und Zwiebeln",TRUE,FALSE,,6
17,1,3,lachano,Weißkrautsalat in Olivenöl und Balsamico,TRUE,TRUE,,1
18,1,3,marouli,Römersalat mit Dill und Frühlingszwiebeln,TRUE,TRUE,,2
19,1,3,choriatiki,"Griechischer Bauernsalat aus Gurken, Tomaten, Peperoni, Oliven, Zwiebeln und Schafskäse",TRUE,FALSE,,3
20,1,3,halloumi,Blattsalate mit gehackten Walnüssen und gegrilltem Halloumikäse auf Honig-Balsamico-Dressing,TRUE,FALSE,,4
21,1,4,tourlou,Gemüse aus dem Backofen mit Schafskäse,TRUE,FALSE,,1
22,1,4,saganaki,Gebratener Käse aus der Pfanne mit Blattsalat,TRUE,FALSE,,2
23,1,4,spanakopita,"Blätterteigpastete gefüllt mit Blattspinat und Schafskäse, Salat",TRUE,FALSE,,3
24,1,4,kolokithokeftedes,Zucchinipuffer mit Tsatsiki und Blattsalat,TRUE,FALSE,,4
25,1,4,Filet vom Rotbarsch,auf Blattsalat mit warmen Skordalia und rosa Pfeffer,FALSE,FALSE,,5
26,1,4,pastitzio,"Griechischer Makkaroni-BIO-Hackfleisch-Auflauf überbacken mit Bechamelsauce, Blattsalat",FALSE,FALSE,,6
27,1,5,giaourti,Grichischer Joghurt mit Honig und Walnüssen,TRUE,FALSE,,1
28,1,5,zokoaata keik,schokoladenkuchen mit pfefferminz,TRUE,FALSE,,2
29,2,6,fischsuppe pur,frische Fischwürfel | Crevetten | italienisches Gemüse | Kräuter | Sc. Aioli | Brot,FALSE,FALSE,,1
30,2,6,antipasti a la pur vegetarisch,Marinierte | saisonale Gemüsesorten (siehe Angebotstafel),FALSE,FALSE,,2
31,2,6,antipasti a la pur mit schinken,"wie antipasti jedoch mit BIO-Rohschinken von der Hofschlachterei Muhs, Krummbek und Highlander Rindersalami vom Highlanderhof Kiene, Behrensdorf",FALSE,FALSE,,3
32,2,7,Flammkuchen Elsässer Art,Schinken | Salami | Frühlingszwiebeln | Käse,FALSE,FALSE,,1
33,2,8,Lütjen-Burger,Highlander Hacksteak | Salat | Aioli | Steaksauce | Tomaten | Gurke | Hamburgerbrötchen,FALSE,FALSE,,1
34,2,8,Huftsteak von der Norddeutschen-Färsen,Rinderhuftsteak | kleiner Salat | Bratkartoffeln | PUR Steaksauce,FALSE,FALSE,,2
35,2,8,Zanderfilet aus Mecklenburg-Vorpommern,kleiner Salat | Bratkartoffeln | PUR Sc. Aioli,FALSE,FALSE,,3
36,2,8,The Waldorf Salmon Burger,Lachsfrikadelle | Dill-Senf-Sauce | Apfel-Staudensellerie-Creme | karamellisierte Walnüsse | Salat | schwarze Johannisbeer-Vinaigrette,FALSE,FALSE,,4
37,2,8,Große Salatvariation Pur,mit Wildsalaten | Brot,FALSE,FALSE,,5
38,2,8,Große Salatvariation Pur,mit Zanderfilet,FALSE,FALSE,,6
39,2,8,Große Salatvariation Pur,mit Huftsteak,FALSE,FALSE,,7
40,3,9,Matjes Hausfrauenart,"Apfel, Rote Bete, Zwiebel, Pumpernickel",FALSE,FALSE,,1
41,3,9,"„Caesar Salad""","Römersalat, geräucherte Entenbrust, Garnelen, Cesar Dressing, Parmesan",FALSE,FALSE,,2
42,3,9,Mediterrane Gemüseterrine,"Burrata, Basilikum, Focaccia",FALSE,FALSE,,3
43,3,9,Tatar vom Weiderind,"Wachtelei, Soja, Mixed Pickles, geeiste Zwiebel",FALSE,FALSE,,4
44,3,9,Fine de Claires Nr. 2 Felsenaustern,"Pumpernickel, Schnittlauch, Schalottenvinaigrette, Zitrone",FALSE,FALSE,,5
45,3,9,Bunte Blattsalate,"mit gratiniertem Ziegenkäse, Pumpernickel, Honig und Thymian",FALSE,FALSE,,6
46,3,9,Bunte Blattsalate,"mit gegrilltem Oktopus, Oliven, Knoblauch und getrockneten Tomaten",FALSE,FALSE,,7
47,3,10,Husumer Krabbensuppe,"Nordseekrabben, Dill, Creme frâiche",FALSE,FALSE,,1
48,3,10,August Confetti Corn Chowder,"Sommerliche Maissuppe, Ravioli mit Chili con Carne Füllung",FALSE,FALSE,,2
49,3,10,Geeiste Gurkengazpacho,"Matjes Tatar, Wildkräuter",FALSE,FALSE,,3
50,3,11,Himmel und Ähd,"Entenleber, Kartoffelpraline, Apfelcreme",FALSE,FALSE,,1
